"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:26:18,0.000979 cores
2025-07-07 15:26:20,0.000979 cores
2025-07-07 15:26:22,0.000979 cores
2025-07-07 15:26:24,0.000979 cores
2025-07-07 15:26:26,0.000979 cores
2025-07-07 15:26:28,0.000785 cores
2025-07-07 15:26:30,0.000925 cores
2025-07-07 15:26:32,0.000925 cores
2025-07-07 15:26:34,0.000925 cores
2025-07-07 15:26:36,0.000925 cores
2025-07-07 15:26:38,0.000925 cores
2025-07-07 15:26:40,0.000925 cores
2025-07-07 15:26:42,0.000925 cores
2025-07-07 15:26:44,0.000765 cores
2025-07-07 15:26:46,0.000739 cores
2025-07-07 15:26:48,0.000895 cores
2025-07-07 15:26:50,0.000895 cores
2025-07-07 15:26:52,0.000895 cores
2025-07-07 15:26:54,0.000895 cores
2025-07-07 15:26:56,0.000895 cores
2025-07-07 15:26:58,0.000816 cores
2025-07-07 15:27:00,0.000816 cores
2025-07-07 15:27:02,0.000816 cores
2025-07-07 15:27:04,0.000824 cores
2025-07-07 15:27:06,0.000824 cores
2025-07-07 15:27:08,0.000824 cores
2025-07-07 15:27:10,0.000824 cores
2025-07-07 15:27:12,0.000824 cores
2025-07-07 15:27:14,0.000847 cores
2025-07-07 15:27:16,0.000907 cores
2025-07-07 15:27:18,0.000907 cores
2025-07-07 15:27:20,0.000907 cores
2025-07-07 15:27:22,0.000907 cores
2025-07-07 15:27:24,0.000907 cores
2025-07-07 15:27:26,0.000907 cores
2025-07-07 15:27:28,0.000747 cores
2025-07-07 15:27:30,0.000779 cores
2025-07-07 15:27:32,0.000942 cores
2025-07-07 15:27:34,0.000942 cores
2025-07-07 15:27:36,0.000942 cores
2025-07-07 15:27:38,0.000942 cores
2025-07-07 15:27:40,0.000942 cores
2025-07-07 15:27:42,0.000900 cores
2025-07-07 15:27:44,0.000900 cores
2025-07-07 15:27:46,0.000900 cores
2025-07-07 15:27:48,0.000777 cores
2025-07-07 15:27:50,0.000807 cores
2025-07-07 15:27:52,0.000926 cores
2025-07-07 15:27:54,0.000926 cores
2025-07-07 15:27:56,0.000794 cores
2025-07-07 15:27:58,0.000763 cores
2025-07-07 15:28:00,0.000927 cores
2025-07-07 15:28:02,0.000927 cores
2025-07-07 15:28:04,0.000881 cores
2025-07-07 15:28:06,0.000881 cores
2025-07-07 15:28:08,0.000881 cores
2025-07-07 15:28:10,0.000881 cores
2025-07-07 15:28:12,0.000875 cores
2025-07-07 15:28:14,0.000875 cores
2025-07-07 15:28:16,0.000735 cores
2025-07-07 15:28:18,0.000853 cores
2025-07-07 15:28:20,0.000853 cores
2025-07-07 15:28:22,0.000853 cores
2025-07-07 15:28:24,0.000887 cores
2025-07-07 15:28:26,0.000887 cores
2025-07-07 15:28:28,0.000887 cores
2025-07-07 15:28:30,0.000887 cores
2025-07-07 15:28:32,0.000927 cores
2025-07-07 15:28:34,0.000927 cores
2025-07-07 15:28:36,0.000927 cores
2025-07-07 15:28:38,0.000927 cores
2025-07-07 15:28:40,0.000784 cores
2025-07-07 15:28:42,0.000575 cores
2025-07-07 15:28:44,0.000963 cores
2025-07-07 15:28:46,0.000963 cores
2025-07-07 15:28:48,0.000963 cores
2025-07-07 15:28:50,0.000963 cores
2025-07-07 15:28:52,0.000963 cores
2025-07-07 15:28:54,0.000963 cores
2025-07-07 15:28:56,0.000963 cores
2025-07-07 15:28:58,0.000963 cores
2025-07-07 15:29:00,0.00100 cores
2025-07-07 15:29:02,0.000957 cores
2025-07-07 15:29:04,0.000957 cores
2025-07-07 15:29:06,0.000957 cores
2025-07-07 15:29:08,0.000957 cores
2025-07-07 15:29:10,0.000957 cores
2025-07-07 15:29:12,0.000945 cores
2025-07-07 15:29:14,0.000945 cores
2025-07-07 15:29:16,0.000954 cores
2025-07-07 15:29:18,0.000954 cores
2025-07-07 15:29:20,0.000954 cores
2025-07-07 15:29:22,0.000954 cores
2025-07-07 15:29:24,0.000756 cores
2025-07-07 15:29:26,0.000920 cores
2025-07-07 15:29:28,0.000920 cores
2025-07-07 15:29:30,0.000920 cores
2025-07-07 15:29:32,0.000882 cores
2025-07-07 15:29:34,0.000882 cores
2025-07-07 15:29:36,0.000882 cores
2025-07-07 15:29:38,0.000882 cores
2025-07-07 15:29:40,0.000882 cores
2025-07-07 15:29:42,0.000892 cores
2025-07-07 15:29:44,0.000744 cores
2025-07-07 15:29:46,0.000774 cores
2025-07-07 15:29:48,0.000900 cores
2025-07-07 15:29:50,0.000900 cores
2025-07-07 15:29:52,0.000900 cores
2025-07-07 15:29:54,0.000900 cores
2025-07-07 15:29:56,0.000903 cores
2025-07-07 15:29:58,0.000903 cores
2025-07-07 15:30:00,0.000903 cores
2025-07-07 15:30:02,0.000876 cores
2025-07-07 15:30:04,0.000876 cores
2025-07-07 15:30:06,0.000876 cores
2025-07-07 15:30:08,0.000876 cores
2025-07-07 15:30:10,0.000849 cores
2025-07-07 15:30:12,0.000849 cores
2025-07-07 15:30:14,0.000849 cores
2025-07-07 15:30:16,0.000731 cores
2025-07-07 15:30:18,0.000868 cores
2025-07-07 15:30:20,0.000868 cores
2025-07-07 15:30:22,0.000868 cores
2025-07-07 15:30:24,0.000833 cores
2025-07-07 15:30:26,0.000833 cores
2025-07-07 15:30:28,0.000833 cores
2025-07-07 15:30:30,0.000833 cores
2025-07-07 15:30:32,0.000806 cores
2025-07-07 15:30:34,0.000806 cores
2025-07-07 15:30:36,0.000806 cores
2025-07-07 15:30:38,0.000785 cores
2025-07-07 15:30:40,0.000785 cores
2025-07-07 15:30:42,0.000746 cores
2025-07-07 15:30:44,0.000746 cores
2025-07-07 15:30:46,0.000746 cores
2025-07-07 15:30:48,0.000746 cores
2025-07-07 15:30:50,0.000746 cores
2025-07-07 15:30:52,0.000743 cores
2025-07-07 15:30:54,0.000743 cores
2025-07-07 15:30:56,0.000733 cores
2025-07-07 15:30:58,0.000733 cores
2025-07-07 15:31:00,0.000733 cores
2025-07-07 15:31:02,0.000733 cores
2025-07-07 15:31:04,0.000733 cores
2025-07-07 15:31:06,0.000733 cores
2025-07-07 15:31:08,0.000721 cores
2025-07-07 15:31:10,0.000714 cores
2025-07-07 15:31:12,0.000714 cores
2025-07-07 15:31:14,0.000714 cores
2025-07-07 15:31:16,0.000714 cores
2025-07-07 15:31:18,0.000714 cores
2025-07-07 15:31:20,0.000714 cores
2025-07-07 15:31:22,0.000736 cores
2025-07-07 15:31:24,0.000741 cores
2025-07-07 15:31:26,0.000741 cores
2025-07-07 15:31:28,0.000741 cores
2025-07-07 15:31:30,0.000741 cores
2025-07-07 15:31:32,0.000741 cores
2025-07-07 15:31:34,0.000741 cores
2025-07-07 15:31:36,0.000741 cores
2025-07-07 15:31:38,0.000744 cores
2025-07-07 15:31:40,0.000611 cores
2025-07-07 15:31:42,0.000726 cores
2025-07-07 15:31:44,0.000726 cores
2025-07-07 15:31:46,0.000726 cores
2025-07-07 15:31:48,0.000726 cores
2025-07-07 15:31:50,0.000726 cores
2025-07-07 15:31:52,0.000743 cores
2025-07-07 15:31:54,0.000743 cores
2025-07-07 15:31:56,0.000743 cores
2025-07-07 15:31:58,0.000746 cores
2025-07-07 15:32:00,0.000746 cores
